scenario,rep,arm,per_step_ms,upd_med_ms,load1,hash
S2_1080p_cam_phys,4,fix,40.2054,20.2365,1.87,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S2_1080p_cam_phys,4,base,42.5731,22.8195,1.92,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S3_720p_cam_lidar_phys,4,fix,19.8918,11.2505,2.02,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S3_720p_cam_lidar_phys,4,base,21.7131,12.9087,2.09,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S4_720p_phys,4,fix,13.9861,7.8109,2.08,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S4_720p_phys,4,base,14.9112,9.0481,1.99,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,4,fix,5.4383,3.9620,1.99,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,4,base,5.8893,4.3734,1.99,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S1_720p_cam_phys,5,base,20.9601,11.8265,2.00,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
S1_720p_cam_phys,5,fix,20.1860,11.4526,2.00,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
S2_1080p_cam_phys,5,base,43.6509,23.6819,2.07,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S2_1080p_cam_phys,5,fix,40.4328,20.6617,2.20,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S3_720p_cam_lidar_phys,5,base,21.3308,12.6670,2.08,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S3_720p_cam_lidar_phys,5,fix,20.4185,11.5958,2.15,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S4_720p_phys,5,base,14.9216,9.0826,2.19,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S4_720p_phys,5,fix,13.6189,7.7949,2.08,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,5,base,5.8985,4.4059,2.22,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,5,fix,5.4821,3.9654,2.12,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
DONE
